Country,Country Classification,Industry,Technology,Dimensions,Customer-Provider,Challenges
Jordan,Developing,Manufacturing Supply chain,Industry 4.0 in general,,No,"Cybersecurity challenges
Lack of digital strategy
Lack of infrastructure: no funds to build a digital infrastructure
Personnel resistance to adopt new technologies
High investment requirements
Data management and quality challenges such as big data
Uncertainty of economic benefits
Low maturity level of technology
Lack of adequate skills
Job disruptions: Changing the structure of jobs | nan | nan | nan"
Sub-Saharan Africa,Underdeveloped,Agricultural industry,Industry 4.0 in general,"environmental, economic, technological, and cultural",Yes,"Technology: ""Not enough data in social media to take advantage of Big Data analytics.""
""There is no presence of local suppliers’ databases, so it is impossible to use Big Data analytics in procurement and lack of information sharing with the public regarding technologies.""
""Specific technologies are not reliable for the agricultural industry, like IoT and drones, are not reliable for soil moisture testing."" 
""Internet services are not reliable, so it is not possible to use the Cloud, and the internet providers do not receive penalties for poor services.""

Economic: ""The economy is protected as there is not much competition or entrance of disruptive technology that causes companies to upgrade their technologies.""
""It is very costly to implement a cloud because of the technological infrastructure required. Issues in accessing foreign resources, whether they are technologies or knowledge, particularly financial transactions, are an issue. Thus, it is hard to use, for
example, Cloud-based | The availability of young people compared to
developed countries cause the cost of labour to be low,
thus discouraging the introduction of specific
technologies, e.g., robots.
Some technologies cannot be used as they increase the
costs for mostly low-income consumers (e.g., using
RFID for batch management or 3D printing for pasta).
Psychological resistance to change to new
technologies. Many people have a fear of technology
as they think that they will lose control, and they do
not see the potential of the technology.
There is no presence of local suppliers’ databases, so it
is impossible to use Big Data analytics in procurement
and lack of information sharing with the public
regarding technologies.
Specific technologies are not reliable for the
agricultural industry, like IoT and drones, are not
reliable for soil moisture testing.
Farm analytics software is tough to be renewed or
upgrade because of the difficult relations with foreign
countries. Therefore some technologies in the
comp | nan | nan"
Developed countries,Developed,Vinyl flooring manufacturing,"Big Data, Cloud & Edge Computing, Condition Monitoring, Human-Machine-Interaction, IOT & Cyber-physical systems, Information & Communication Technologies",not mentioned,No,"Handling large volumes of data generated by manufacturing processes
Storage and Processing Constraints: Edge computing is limited by its capacity for storage and processing power, requiring optimization techniques
Integrating human decision-making with cyber-physical systems in a way that enhances both performance and efficiency
Ensuring low-latency, real-time data processing | nan | nan | nan"
Malaysia,Developing,,IOT & Cyber-physical systems,,No,"cybersecurity 
Institutional and Legal Instruments: “The current regulation is still lacking to cater for new technology and devices... there needs to be a balance between innovations that we want to spur and the data that needs to be exposed”
Adaptive Capabilities and Skilled Staff:“The trend is moving so fast; the regulators have the challenge to keep up with the technology,” 
Priority Setting, Enforcement, and Transparency: “Cybersecurity is the least of their investment, the focus is more on operating the system”​
Consumer Education and Smart Partnerships:  “There needs to be a partnership between government, industry and civil society to empower people”
Accountability of Regulation and Responsibility of Business:
“Businesses have to think of ways in which they can ensure that consumer data is protected”​
Standards Setting and Compliance: “Government needs to have standards and specifications in place to ensure security at all points”​ | nan | nan | nan"
South Asia,Underdeveloped,Manufacturing Industry,Industry 4.0 in general,"Technological, Economical, Regulatory, Organizational",No,"Technological
C1-Technology Availability and Compatibility
C2-Low Maturity of Technology and Seamless Integration
C3-Information Technology Infrastructure
C4-Cyber-Security and Privacy
C5-Capability to Manage Big Data
Economical
C6-Requirement for High Initial Investment
C7-Uncertainty of Return-On-Investment
Regulatory
C8-Availability of Reference Architecture and Standards
C9-Government Support and Legal Issues
C10-Complexity in Supply Chain Integration and Coordination
C11-Employee Fear and Resistance to Change
Organizational
C12-Education and Training Programs
C13-Knowledge, Awareness, and Competence of Industry 4.0
C14-Management Commitment and Leadership
C15-Availability of Skilled Workforce
C16-Organization Structure and Culture | nan | nan | nan"
India,Developing,Electronics Manufacturing Field,Blockchain,"1-Managerial Challenges:
2-Signatures, cryptograph and algorithms challenges:
3-Decentralization and smart contract related challenges:
4-Organizational challenges:
5-Standardization and implementation challenges:",No,"Managerial Challenges:
C1 Higher Implementation cost
C2 Difficulty in hardware and software upgradation
C3 Lack of management support and awareness
C4 Lack of continuous improvement culture
C5 Lack of sustainability practices
C6 Lack of effective collaboration
Signatures, cryptograph and algorithms challenges:
C7 Complicated business models
C8 Privacy protection
C9 Quantum attacks
C10 Black box effect and efficiency
C11 Lack of system resiliency
C12 Retrieval on encrypted data
Decentralization and smart contract related challenges:
C13 Risk management and fraud detection
C14 Twinning blockchain with
other systems
C 15 Multi-chain
synchronization
C16 Lack of effective self-
adaptive coordination
C17 Lack of middleware
solutions
Organizational challenges:
C18 Lack of employee training
programs
C19 Lack of communication
between departments
C20 Lack of awareness about
sustainability tools
C21 Lack of consideration in
human factors
C22 Lack of resistance in
culture change
Standardization an | 23:Ineffective sustainability measurement systems.
24:Lack of sustainable energy adoption.
25:Complexity within sustainable supply chain practices
26:Lack of standardized tools and reference architecture
27: Lack of updated auditing standards
28:High energy consumptions due to activities | nan | nan"
Malaysia,Developing,Various,"Human-Machine-Interaction, Information & Communication Technologies",,Yes,"Team-Related Challenges:
""knowledge gap between technical or other teams and the project manager."" 
""inability to establish an efficient communication channel between parties.""
""The inability to establish an efficient communication channel between parties. This may be a symptom of a lack of clear communication between the parties and a failure to identify the team’s knowledge gap""​
IT Tools Challenges :
""The project managers lack IT support""
Skills Challenges:
""in-depth knowledge and general skills in specific disciplines,"" such as risk management and stakeholder management. This often results in ""insufficient stakeholder involvement,""
""Lack of stakeholder involvement in a project or scope development may be a cause for concern""​ | nan | nan | nan"
Portugal,Developed,Textile industry,"AI, Condition Monitoring, Digital Twin, IOT & Cyber-physical systems","Technical , Human, Environmental",No,"Integration and Interoperability:
""Ensuring the synchronization between virtual and real shop floor entities"" is identified as a critical technical issue, requiring ""higher degrees of synchronization"" to avoid discrepancies between digital twins and physical systems​(Holistic Security and S…).
 ""The lack of consensus on unified concepts, standards, and procedures complicates implementations""​
Environmental 
Customer complexity, in this case :""real-time deviations in energy consumption"" 
Human Challenges:
Monitoring Human Behavior:
""stress, fatigue, and lack of attention""
""early stage of development"" with significant room for improvement in ""validation of models and collection of real worker data""​
human intention (accidental or malicious) is highlighted as critical to avoiding ""unexpected and unpleasant issues""
""Technically speaking, many companies do not have the expertise or resources required to effectively implement digital twins."" | nan | nan | nan"
Jordan,Developing,Various,Industry 4.0 in general,not mentioned,No,"lack of knowledge (know-how), 
lack of standards, 
lack of data protection, 
lack of qualiﬁed workforce, 
lack of awareness of the importance of Industry 4.0, 
lack of ﬁnancial resources, 
and lack of governmental support | nan | nan | nan"
Global,Global,Manufacturing Industry,"AI, Cloud & Edge Computing, Condition Monitoring, IOT & Cyber-physical systems",not mentioned,No,"Competition: “Although data sharing among factories can lead to more robust predictive models, enterprises are typically reluctant to exchange data because they fear losing their competitive edge”​

Technological design and platform service challenges: “Do not have the capability to provide data efficiently and effectively” or “lack the internal technology to integrate data from various sources or utilize advanced analytical methodologies”​

Data management: “It can be difficult for companies to manage data in a way that makes quick automated data access due to a lack of internal capabilities needed to draw data from internal applications”​

Culture and mindset challenges: “The creation of new value propositions relies on the ability to share data across bigger industrial ecosystems that include participants with limited trust in each other""

Ontological needs: “All participants must agree on a common ontology or language” to ensure that shared data is “easy to interpret and integrate | nan | nan | nan"
Turkey,Developing,Food and beverage manufacturing,Blockchain,"Technologic (T)
Organizational(O)
Economic (E)
Social (S)",No,"Lack of technological development (T1)
Limited information about infrastructure (T2)
Lack of privacy risk (T3)
Scalability (T4)
Forking (T5)
Difficulties in payment channel challenges (T6)
Information sharing obstacles (O1)
Lack of tea SCM policies (O)
Lack of governmental commitment (O3)
Lack of industry involvement (O4)
High operational cost (E1)
High investment cost (E2)
Lack of financial subvention (E3)
High delay cost in transmission (E4)
Lack of research and development units (S1)
Nature of tea SC difficulties (S2)
Unregistered producers (S3)
Uneducated/unskilled producers (S4)
Lack of technological adaptation (S5)
Limitation of new rules acceptance (S6) | nan | nan | nan"
India,Developing,Electronics Manufacturing Field,"Condition Monitoring, IOT & Cyber-physical systems, Information & Communication Technologies","Technological
Organizational
Environmental
Social
Economic",No,"1. Technological Barriers:
Compatibility issues (B1): 
Integration difficulties between cyber-physical components.
Shortage of resources (B2): 
Lack of technical resources needed for adoption.
Data security and data protection (B3): 
Vulnerabilities leading to data breaches.
Lack of standards and reference architectures (B4): 
Incompatibility due to absence of global standards.
2. Organizational Barriers:
Lack of leadership and top management commitment (B5): 
Absence of support from senior management.
Fear of success (B6):
 Concerns about delayed return on investment.
Lack of futuristic outlook (B7):
 Missing vision, roadmaps, and strategies.
Resistance to adopt (B8):
 Lack of expertise and unclear benefits causing friction in adopting technologies.
Need for skills enhancement (B9): 
Need for workforce training to develop competencies for Industry 4.0.
Organizational and process changes (B10): 
Need for re-evaluation of industrial procedures. | 3. Environmental Barriers:
Lack of awareness among supply chain stakeholders (B11) :
Selection of suitable supplier is essential to have a better understanding and common goals to produce preferred sustainable manufactured goods
Market competition (B12): Firms that lack appropriate management related to sustainable processes may lose buyers who have inclination and preference for such products
Market uncertainty (B13):
Availability of sustainable products is uncertain, especially when the vision and planning are not clearly drafted, inhibiting the market for prospective consumers.
Supplier’s inflexibility to shift towards sustainability (B14): Rigidness of contractors and inhibitions towards adoption of I4 and related technologies. | 4.Social 
Lack of consumer’s awareness (B15):
Consumer unawareness and lack of knowledge for sustainable practices used while manufacturing a product and its related activities such as raw materials used.
Lack of governmental rules and regulations (B16):
Dearth of government policies, directions, and guidelines on I4, manufacturing firms are sceptical about plausible consequences.
Employment disruptions (B17): 
This is defined as the unrest in the employment owing to the adoption of emerging technologies that demand the need for learning and
automation of process.
Lack of green initiatives (B18): 
Minimum usage of packaging material reduces material handling and transportation costs. The industry is responsible for providing waste collection and other processing facilities, which if not handled carefully can harm environment conditions. | Legal and contractual uncertainty (B19): 
Questions related to legal ownership of the process and the legal responsibility for inaccuracies with manufacturing need to be resolved appropriately.
Regulatory compliance (B20):
Data from various sources are captured using different devices, which makes the data vulnerable to attacks and needs intervention from legal experts.
Economic High implementation cost (B21):
This encompasses all costs including procurement of technological installations, mechanical equipment, and engineering services. It also includes cost related to labour and  aintenance
costs for the equipment maintenance. The investors must consider the investment costs, which is the widely used economic criteria to assess sustainable practices in any industry/
sector."
Developed countries,Developed,Manufacturing Industry,Industry 4.0 in general,"Economic and Legal, Workers, Organization, Technology",No,"Economic and Legal
BTA1: ""High cost of implementation and raw materials""
BTA2: ""Regulatory compliance factors""​
BTA3: ""Legal, privacy and contractual factors""​
Workers
BTA4: ""Employment disruptions""​
BTA5: ""Need for enhanced skills""​
BTA6: ""Workers resistance""
BTA7: ""Psychosocial factors""​
Organization
BTA8: ""Organizational and process changes""​
BTA9: ""Security and privacy factors""​
BTA10: ""Integration and compatibility factors""​
Lack of Training and Information
BTA11: ""Lack of knowledge management systems""​
BTA12: ""Lack of clear comprehension about I40 T""
Technology
BTA13: ""Lack of standards and reference architecture""​
BTA14: ""Lack of Internet coverage and IT facilities""​ | nan | nan | nan"
Italy,Developed,Manufacturing Industry,"Human-Machine-Interaction, Robotics",,No,"Technical Feasibility (complexity):
“the task is not executable by an industrial collaborative robot due to technical reasons,” ""high dexterity,"" “particularly unfavorable conditions for low-cost collaborative automation”​ | nan | nan | nan"
Developed countries,Developed,Manufacturing Industry,IOT & Cyber-physical systems,"Ecosystem
Technology
Business
Skills
Data",Yes,"Ecosystem Challenges
Gaps in collaboration
""The cooperation and collaboration among organisations for exploiting common opportunities remain limited, requiring rules and frameworks to facilitate these relationships""​(The D-BEST Reference Mo…).

Difficulties in governance
""The definition of governance structures and rules on intellectual property and internal/external collaborations are complex but critical to ensure ecosystem sustainability""​(The D-BEST Reference Mo…).

Technology Challenges
Lack of infrastructure accessibility
""Providing access to infrastructure and technological platforms remains a challenge, particularly for SMEs with limited resources""​

Validation of emerging technologies
""Supporting the validation and exploration of emerging technologies through prototyping and MVPs remains underutilised""
Skills Challenges
Skills gap in digital transformation
""Human capabilities maturity in Industry 4.0 is often lacking, with significant gaps between existing skills and those r | nan | nan | nan"
Brazil,Developing,Agricultural industry,IOT & Cyber-physical systems,,No,"Perception of Value:  ""Low perceived trialability attributes and complexity beliefs reduced likelihoods of adoption"" 
Trialability Barriers: Agriculturalists reported challenges in testing IoT innovations before adoption.
""Agriculturalists reported < 50% agreed the timeframe to acquire and test IoT smart agriculture was adequate"" | nan | nan | nan"
India,Developing,Automotive Sector,Additive Manufacturing,"Environment and sustainability, Process planning, Pre-processing, Processing, Post-processing, Materials and design, and Technology.",No,"1. Environment and Sustainability (ES)
2-Improper energy management (ES4): ""Energy management in WAAM is required due to the periodic and high heat input of the arc on the printed 
5-Availability and quality of data for life cycle assessment (ES6): ""Availability and quality of data for life cycle assessment of WAAM process through real-time monitoring ensures sustainability.""
2. Process Planning (PP)
1-Responsiveness to demand for customization (PP1): ""The concept of Industry 4.0 and WAAM can be integrated to improve the responsiveness to the demand for customization.""
2-Large-scale production challenges (PP2): ""WAAM is not fully capable of producing large-scale parts due to a lack of integration with I4.0-based design software."" | 3-Inefficient platform and data management (PP3): ""Platform and data management improves the efficiency of WAAM in I4.0.""
4-Migration of virtual machines (PP4): ""Migration of virtual machines denotes WAAM and I4.0 integration over the cloud with real-time monitoring and decentralized production.""
5-Shortage of appropriately trained workers (PP5): ""Trained workers need to monitor the automated WAAM system.
Ensuring safe working environments (PP6): ""As WAAM and I4.0 integration possesses several | 7-Worker safety (reducing accidents) (PP7): ""Worker safety is the challenge in WAAM and I4.0 integration.""
4. Processing (Pr)
7. Technology (T)
Poor programming strategy (T1): ""Poor programming strategies impact the efficiency of WAAM and I4.0 integration.""
Inter-portability (T5): ""Inter-portability is an issue in I4.0 systems during integration with WAAM.""
Cyber-attacks (T6): ""Cyber-attacks represent a significant threat to I4.0 and WAAM integration systems.""
Loss of reliability (T7): ""Loss of reliability impacts the smooth integration of WAAM with I4.0 technologies."" | Data integrity issues (T8): ""Data integrity issues represent technological risks in I4.0 and WAAM systems.""
Operational security (T9): ""Operational security is critical for the success of WAAM and I4.0 integration.""
Seamless integration of new technologies on shop floor (T10): ""Seamles
ntegrating new technologies into existing systems (T11): ""Integrating new technologies into existing systems represents a challenge for the smooth adoption of WAAM and I4.0."""
Poland,Developed,"Automotive Sector, Furniture manufacturing, Manufacturing Industry",Industry 4.0 in general,not mentioned,No,"Lack of awareness of I4.0 technologies
""lack of awareness of Industry 4.0 technologies"". ""at this moment, it is a lack of knowledge and general awareness of I4.0 technologies that is most problematic""​

Lack of financing and investment risk
""lack of financing and investment risk"".  ""firms in clusters often face difficulties financing these innovations, facing high costs of buying and implementing technologies""​

Lack of skills and digital competencies
 ""lack of skills and digital competencies""  ""a key barrier is the lack of digital skills among employees, which can seriously hamper the adoption of Industry 4.0 technologies""​

Reluctance to changes among workers (culturally related barriers)
 ""reluctance to changes among workers""  ""reluctance to changes among workers can seriously hamper SMEs’ Industry 4.0 adoption""​ | nan | nan | nan"
India,Developing,"Automotive Sector, Construction, Electronics Manufacturing Field, Manufacturing Industry, Pharmaceuticals",Industry 4.0 in general,not mentioned,No,"Common barriers: 
1-Resistance to change
2-Problems related to coordination and collaboration
3-Unclear economic benefits
Unique barriers: 
Firm 1 (Infrastructure: Infrastructure Project Management)

Lack of government policies and support
Lack of digital infrastructure
Firm 2 (Infrastructure: Infrastructure Equipment Manufacturing)

Lack of expertise
Lack of digital infrastructure
Firm 3 (Manufacturing: Automotive)

Complex network systems
Poor data quality and management
Firm 4 (Manufacturing: Tier-I Automotive Part Supplier)

Lack of financial support
Lack of expertise
Firm 5 (Railways: Undercarriage Manufacturer)

Lack of financial support
Lack of digital infrastructure
Firm 6 (Railways: Steel Company for Semi-High-Speed Railways)

Lack of research and development
Lack of digital infrastructure
Firm 7 (Science and Technology: Biomedical Equipment Supplier)

Legal issues
Lack of digital culture | Firm 8
- Lack of digital vision and strategy
- Lack of digital culture
Firm 9
- Data privacy and security issues
- Lack of digital vision and strategy Lack of
Firm 10
- Data privacy and security issues
- Complex network system | nan | nan"
Australia,Developed,Medical Manufacturing,"Big Data, IOT & Cyber-physical systems",not mentioned,No,"lack of technical expertise, 
high implementation costs, 
and difficulty in selecting appropriate IoT solutions | nan | nan | nan"
India,Developing,"Automotive Sector, Manufacturing Industry",Industry 4.0 in general,,No,"Cyber-physical security issues in
manufacturing systems (CPSB1)
Lack of skilled manpower (CPSB2)
Lack of awareness about CPS (CPSB3)
Lack of standardization of technologies in
CPS (CPSB4)
Interlinking and interoperability difficulties
across multiple platforms (CPSB5)
Difficulty in developing real-time linkage of
smart factory and physical production
(CPSB6)
Lack of robustness with respect to
environmental conditions in automotive
environment (CPSB7)
Data rate issues to support high speed
applications (CPSB8)
Dependability issue with monitoring and
actuator infrastructure (CPSB9)
Lack of accuracy in CPS applications
(CPSB10)
Lack of minimal energy consuming CPS
applications (CPSB11)
High cost of sensors and actuators to develop
CPS application (CPSB12)
Difficulties in implementing CPS using wired
network (CPSB13)
Lack of cooperative production systems
(CPSB14)
Human-machine2 symbiosis (CPSB15)
Lack of modularization and servification of | Lack of modularization and servification of
CPS (CPSB16)
Conversion of information analytics and CPS
data to actionable information (CPSB17)
Difficulties in designing CPS infrastructure
(CPSB18) | nan | nan"
India,Developing,"Agricultural industry, Food and beverage manufacturing","Industry 4.0 in general, Information & Communication Technologies",,No,"MV1 Fear of embracing the radically innovative I4.0 approach. (Radically Innovative approach)
MV2 Weak enabling by top management and parent organisation. (Top Management support)
MV3 Lack of visibility and success stories of I4.0 deliverables. (Limited visible deliverables)
MV4 Incompatible resources - financial, human, digital, physical, educational and informational.
(Incompatible resources)
MV5 High cost of transition to the new I4.0 technology. (Transition cost)
MV6 Lack of economic benefits and uncertain return on investment (ROI)
(Apprehensive perceived benefits)
MV7 Cyber security and reliability of IT systems for real-time operation. (IT capability)
MV8 Challenges in coordination/alignment of supply chain actors. (Business-partner alignment challenges)
MV9 Lack of subsidies and tax-incentives by the government. (Weak government pull)
MV10 Fear of a plethora of rules/riders attuned to large companies. (Procedural complexities) | nan | nan | nan"
Portugal,Developed,Automotive Sector,Industry 4.0 in general,not emntioned,No,"Absence of a defined I4.0 strategy:
""The absence of a defined I4.0 strategy, lack of indicators to monitor the state of implementation, and the lack of I4.0 investment are the main factors that limit a higher final readiness level on the logistics department""​
Lack of investment in Industry 4.0: 
""The start of investment to be carried out at the level of I4.0 are activities related to the same dimension (Strategy and Organization)""​
Limited ICT functionalities:
""Another factor that penalizes the final level on this department, is related to the lack of more ICT-based functionalities""​
Infrastructure adaptability:
""The fact that the infrastructure features are poorly adaptable and scalable also limits a better final assessment""
Lack of data-driven services: 
""The lack of services provision based on data collection presents itself as the field with the most impact as an opportunity for improvement""​ | nan | nan | nan"
